,presence_freq_y=1,presence_freq_y=-1,difference (y=1-y=-1),chi2_stat,p_value,FDR_q
CHEMONTID:0002314,0.0,0.005896635449184877,-0.005896635449184877,0.27282873647337746,0.6014405131748561,0.9059691280103913
CHEBI:46940,0.0,0.005896635449184877,-0.005896635449184877,0.27282873647337746,0.6014405131748561,0.9059691280103913
CHEMONTID:0002454,0.0,0.005896635449184877,-0.005896635449184877,0.27282873647337746,0.6014405131748561,0.9059691280103913
CHEMONTID:0001764,0.0,0.005896635449184877,-0.005896635449184877,0.27282873647337746,0.6014405131748561,0.9059691280103913
CHEMONTID:0004713,0.0,0.005896635449184877,-0.005896635449184877,0.27282873647337746,0.6014405131748561,0.9059691280103913
CHEMONTID:0000022,0.0,0.005896635449184877,-0.005896635449184877,0.27282873647337746,0.6014405131748561,0.9059691280103913
CHEBI:38312,0.0,0.005896635449184877,-0.005896635449184877,0.27282873647337746,0.6014405131748561,0.9059691280103913
CHEMONTID:0002312,0.0,0.005896635449184877,-0.005896635449184877,0.27282873647337746,0.6014405131748561,0.9059691280103913
CHEMONTID:0001562,0.0,0.005896635449184877,-0.005896635449184877,0.27282873647337746,0.6014405131748561,0.9059691280103913
CHEBI:50334,0.0,0.005896635449184877,-0.005896635449184877,0.27282873647337746,0.6014405131748561,0.9059691280103913
CHEMONTID:0001125,0.0,0.005896635449184877,-0.005896635449184877,0.27282873647337746,0.6014405131748561,0.9059691280103913
CHEMONTID:0001497,0.0,0.005896635449184877,-0.005896635449184877,0.27282873647337746,0.6014405131748561,0.9059691280103913
CHEBI:51659,0.0,0.005896635449184877,-0.005896635449184877,0.27282873647337746,0.6014405131748561,0.9059691280103913
CHEBI:26766,0.0,0.005896635449184877,-0.005896635449184877,0.27282873647337746,0.6014405131748561,0.9059691280103913
CHEMONTID:0001302,0.0,0.005896635449184877,-0.005896635449184877,0.27282873647337746,0.6014405131748561,0.9059691280103913
CHEBI:22315,0.021739130434782608,0.036073534512660425,-0.014334404077877817,0.26917030083414933,0.6038888851977953,0.9059691280103913
CHEMONTID:0000321,0.06521739130434782,0.08671522719389525,-0.02149783588954743,0.2651579800609442,0.6065984924908436,0.9059691280103913
CHEMONTID:0003260,0.021739130434782608,0.035726673603884845,-0.013987543169102237,0.25867409245393913,0.6110325376785853,0.9059691280103913
CHEMONTID:0002449,0.021739130434782608,0.035726673603884845,-0.013987543169102237,0.25867409245393913,0.6110325376785853,0.9059691280103913
CHEMONTID:0000074,0.0,0.005549774540409296,-0.005549774540409296,0.25669183759955577,0.6124020707226048,0.9059691280103913
CHEMONTID:0000181,0.0,0.005549774540409296,-0.005549774540409296,0.25669183759955577,0.6124020707226048,0.9059691280103913
CHEBI:59650,0.0,0.005549774540409296,-0.005549774540409296,0.25669183759955577,0.6124020707226048,0.9059691280103913
CHEBI:46867,0.0,0.005549774540409296,-0.005549774540409296,0.25669183759955577,0.6124020707226048,0.9059691280103913
CHEBI:16180,0.0,0.005549774540409296,-0.005549774540409296,0.25669183759955577,0.6124020707226048,0.9059691280103913
CHEMONTID:0000489,0.0,0.005549774540409296,-0.005549774540409296,0.25669183759955577,0.6124020707226048,0.9059691280103913
CHEMONTID:0001914,0.0,0.005549774540409296,-0.005549774540409296,0.25669183759955577,0.6124020707226048,0.9059691280103913
CHEBI:46685,0.0,0.005549774540409296,-0.005549774540409296,0.25669183759955577,0.6124020707226048,0.9059691280103913
CHEMONTID:0000267,0.0,0.005549774540409296,-0.005549774540409296,0.25669183759955577,0.6124020707226048,0.9059691280103913
CHEMONTID:0000027,0.0,0.005549774540409296,-0.005549774540409296,0.25669183759955577,0.6124020707226048,0.9059691280103913
CHEBI:26895,0.0,0.005549774540409296,-0.005549774540409296,0.25669183759955577,0.6124020707226048,0.9059691280103913
CHEMONTID:0000492,0.0,0.005549774540409296,-0.005549774540409296,0.25669183759955577,0.6124020707226048,0.9059691280103913
CHEMONTID:0000299,0.0,0.005549774540409296,-0.005549774540409296,0.25669183759955577,0.6124020707226048,0.9059691280103913
CHEMONTID:0003130,0.0,0.005549774540409296,-0.005549774540409296,0.25669183759955577,0.6124020707226048,0.9059691280103913
CHEBI:35813,0.0,0.005549774540409296,-0.005549774540409296,0.25669183759955577,0.6124020707226048,0.9059691280103913
CHEBI:37332,0.0,0.005549774540409296,-0.005549774540409296,0.25669183759955577,0.6124020707226048,0.9059691280103913
CHEMONTID:0000491,0.0,0.005549774540409296,-0.005549774540409296,0.25669183759955577,0.6124020707226048,0.9059691280103913
CHEBI:26407,0.021739130434782608,0.013180714533472077,0.008558415901310531,0.25243302456352823,0.6153670965553264,0.9059691280103913
